,Website,Tri,Care,Health,Healthcare,Physician,Provider,Medic,WebAddress
0,"http://36,918.00M",NA,NA,NA,NA,NA,NA,NA,"http://36,918.00M"
1,"http://29,682.00M",NA,NA,NA,NA,NA,NA,NA,"http://29,682.00M"
2,"http://18,642.40M",NA,NA,NA,NA,NA,NA,NA,"http://18,642.40M"
3,"http://18,639.00M",NA,NA,NA,NA,NA,NA,NA,"http://18,639.00M"
4,"http://17,504.17M",NA,NA,NA,NA,NA,NA,NA,"http://17,504.17M"
5,"http://13,346.20M",NA,NA,NA,NA,NA,NA,NA,"http://13,346.20M"
6,"http://8,742.70M",NA,NA,NA,NA,NA,NA,NA,"http://8,742.70M"
7,"http://8,324.30M",NA,NA,NA,NA,NA,NA,NA,"http://8,324.30M"
8,"http://5,999.40M",NA,NA,NA,NA,NA,NA,NA,"http://5,999.40M"
9,"http://5,711.72M",NA,NA,NA,NA,NA,NA,NA,"http://5,711.72M"
10,"http://4,483.10M",NA,NA,NA,NA,NA,NA,NA,"http://4,483.10M"
11,"http://4,124.90M",NA,NA,NA,NA,NA,NA,NA,"http://4,124.90M"
12,"http://3,831.71M",NA,NA,NA,NA,NA,NA,NA,"http://3,831.71M"
13,"http://3,696.94M",NA,NA,NA,NA,NA,NA,NA,"http://3,696.94M"
14,"http://3,135.71M",NA,NA,NA,NA,NA,NA,NA,"http://3,135.71M"
15,"http://2,885.00M",NA,NA,NA,NA,NA,NA,NA,"http://2,885.00M"
16,"http://2,852.27M",NA,NA,NA,NA,NA,NA,NA,"http://2,852.27M"
17,"http://2,683.68M",NA,NA,NA,NA,NA,NA,NA,"http://2,683.68M"
18,"http://2,624.97M",NA,NA,NA,NA,NA,NA,NA,"http://2,624.97M"
19,"http://2,427.00M",NA,NA,NA,NA,NA,NA,NA,"http://2,427.00M"
20,"http://2,234.20M",NA,NA,NA,NA,NA,NA,NA,"http://2,234.20M"
21,"http://2,164.90M",NA,NA,NA,NA,NA,NA,NA,"http://2,164.90M"
22,"http://2,164.70M",NA,NA,NA,NA,NA,NA,NA,"http://2,164.70M"
23,"http://2,000.10M",NA,NA,NA,NA,NA,NA,NA,"http://2,000.10M"
24,"http://1,934.80M",NA,NA,NA,NA,NA,NA,NA,"http://1,934.80M"
25,"http://1,350.41M",NA,NA,NA,NA,NA,NA,NA,"http://1,350.41M"
26,http://443.80M,NA,NA,NA,NA,NA,NA,NA,http://443.80M
27,http://315.10M,NA,NA,NA,NA,NA,NA,NA,http://315.10M
28,http://154.00M,NA,NA,NA,NA,NA,NA,NA,http://154.00M
29,http://143.10M,NA,NA,NA,NA,NA,NA,NA,http://143.10M
30,http://89.00M,NA,NA,NA,NA,NA,NA,NA,http://89.00M
31,http://83.40M,NA,NA,NA,NA,NA,NA,NA,http://83.40M
32,http://77.20M,NA,NA,NA,NA,NA,NA,NA,http://77.20M
33,http://16.27M,NA,NA,NA,NA,NA,NA,NA,http://16.27M
34,http://11.40M,NA,NA,NA,NA,NA,NA,NA,http://11.40M
35,http://9.09M,NA,NA,NA,NA,NA,NA,NA,http://9.09M
36,http://8.20M,NA,NA,NA,NA,NA,NA,NA,http://8.20M
37,http://6.00M,NA,NA,NA,NA,NA,NA,NA,http://6.00M
38,http://4.80M,NA,NA,NA,NA,NA,NA,NA,http://4.80M
39,http://3.30M,NA,NA,NA,NA,NA,NA,NA,http://3.30M
40,http://3.20M,NA,NA,NA,NA,NA,NA,NA,http://3.20M
41,http://2.50M,NA,NA,NA,NA,NA,NA,NA,http://2.50M
42,http://2.40M,NA,NA,NA,NA,NA,NA,NA,http://2.40M
43,http://1.80M,NA,NA,NA,NA,NA,NA,NA,http://1.80M
44,http://1.80M,NA,NA,NA,NA,NA,NA,NA,http://1.80M
45,http://1.70M,NA,NA,NA,NA,NA,NA,NA,http://1.70M
46,http://1.30M,NA,NA,NA,NA,NA,NA,NA,http://1.30M
47,http://1.10M,NA,NA,NA,NA,NA,NA,NA,http://1.10M
48,http://1.00M,NA,NA,NA,NA,NA,NA,NA,http://1.00M
49,http://0.88M,NA,NA,NA,NA,NA,NA,NA,http://0.88M
50,http://8.60M,NA,NA,NA,NA,NA,NA,NA,http://8.60M
51,http://5.5,NA,NA,NA,NA,NA,NA,NA,http://5.5
52,http://3.7,NA,NA,NA,NA,NA,NA,NA,http://3.7
53,http://3.1,NA,NA,NA,NA,NA,NA,NA,http://3.1
54,http://2.84,NA,NA,NA,NA,NA,NA,NA,http://2.84
55,http://2.2,NA,NA,NA,NA,NA,NA,NA,http://2.2
56,http://2.1,NA,NA,NA,NA,NA,NA,NA,http://2.1
57,http://1.4,NA,NA,NA,NA,NA,NA,NA,http://1.4
58,http://1.3,NA,NA,NA,NA,NA,NA,NA,http://1.3
59,http://1.1,NA,NA,NA,NA,NA,NA,NA,http://1.1
60,http://0.96,NA,NA,NA,NA,NA,NA,NA,http://0.96
61,http://0.79,NA,NA,NA,NA,NA,NA,NA,http://0.79
62,http://0.78,NA,NA,NA,NA,NA,NA,NA,http://0.78
63,http://0.67,NA,NA,NA,NA,NA,NA,NA,http://0.67
64,http://0.58,NA,NA,NA,NA,NA,NA,NA,http://0.58
65,http://0.56,NA,NA,NA,NA,NA,NA,NA,http://0.56
66,http://0.52,NA,NA,NA,NA,NA,NA,NA,http://0.52
67,http://0.45,NA,NA,NA,NA,NA,NA,NA,http://0.45
68,http://0.44,NA,NA,NA,NA,NA,NA,NA,http://0.44
69,http://0.43,NA,NA,NA,NA,NA,NA,NA,http://0.43
70,http://0.41,NA,NA,NA,NA,NA,NA,NA,http://0.41
71,http://0.38,NA,NA,NA,NA,NA,NA,NA,http://0.38
72,http://0.37,NA,NA,NA,NA,NA,NA,NA,http://0.37
73,http://0.36,NA,NA,NA,NA,NA,NA,NA,http://0.36
74,http://0.34,NA,NA,NA,NA,NA,NA,NA,http://0.34
75,http://27,NA,NA,NA,NA,NA,NA,NA,http://27
76,http://19.2,NA,NA,NA,NA,NA,NA,NA,http://19.2
77,http://7.3,NA,NA,NA,NA,NA,NA,NA,http://7.3
78,http://6.3,NA,NA,NA,NA,NA,NA,NA,http://6.3
79,http://4.4,NA,NA,NA,NA,NA,NA,NA,http://4.4
80,http://4.2,NA,NA,NA,NA,NA,NA,NA,http://4.2
81,http://3.4,NA,NA,NA,NA,NA,NA,NA,http://3.4
82,http://3,NA,NA,NA,NA,NA,NA,NA,http://3
83,http://3,NA,NA,NA,NA,NA,NA,NA,http://3
84,http://2.8,NA,NA,NA,NA,NA,NA,NA,http://2.8
85,http://2.7,NA,NA,NA,NA,NA,NA,NA,http://2.7
86,http://2.2,NA,NA,NA,NA,NA,NA,NA,http://2.2
87,http://2.1,NA,NA,NA,NA,NA,NA,NA,http://2.1
88,http://2.1,NA,NA,NA,NA,NA,NA,NA,http://2.1
89,http://1.9,NA,NA,NA,NA,NA,NA,NA,http://1.9
90,http://1.9,NA,NA,NA,NA,NA,NA,NA,http://1.9
91,http://1.6,NA,NA,NA,NA,NA,NA,NA,http://1.6
92,http://1.6,NA,NA,NA,NA,NA,NA,NA,http://1.6
93,http://1.5,NA,NA,NA,NA,NA,NA,NA,http://1.5
94,http://1.5,NA,NA,NA,NA,NA,NA,NA,http://1.5
95,http://1.4,NA,NA,NA,NA,NA,NA,NA,http://1.4
96,http://1.4,NA,NA,NA,NA,NA,NA,NA,http://1.4
97,http://1.25,NA,NA,NA,NA,NA,NA,NA,http://1.25
98,http://1.2,NA,NA,NA,NA,NA,NA,NA,http://1.2
99,http://1.1,NA,NA,NA,NA,NA,NA,NA,http://1.1
100,http://83.00M,NA,NA,NA,NA,NA,NA,NA,http://83.00M
101,http://41.30M,NA,NA,NA,NA,NA,NA,NA,http://41.30M
102,http://38.50M,NA,NA,NA,NA,NA,NA,NA,http://38.50M
103,http://37.10M,NA,NA,NA,NA,NA,NA,NA,http://37.10M
104,http://27.30M,NA,NA,NA,NA,NA,NA,NA,http://27.30M
105,http://25.70M,NA,NA,NA,NA,NA,NA,NA,http://25.70M
106,http://22.90M,NA,NA,NA,NA,NA,NA,NA,http://22.90M
107,http://21.00M,NA,NA,NA,NA,NA,NA,NA,http://21.00M
108,http://15.70M,NA,NA,NA,NA,NA,NA,NA,http://15.70M
109,http://8.00M,NA,NA,NA,NA,NA,NA,NA,http://8.00M
110,http://7.00M,NA,NA,NA,NA,NA,NA,NA,http://7.00M
111,http://7.00M,NA,NA,NA,NA,NA,NA,NA,http://7.00M
112,http://6.04M,NA,NA,NA,NA,NA,NA,NA,http://6.04M
113,http://5.40M,NA,NA,NA,NA,NA,NA,NA,http://5.40M
114,http://5.00M,NA,NA,NA,NA,NA,NA,NA,http://5.00M
115,http://5.00M,NA,NA,NA,NA,NA,NA,NA,http://5.00M
116,http://4.70M,NA,NA,NA,NA,NA,NA,NA,http://4.70M
117,http://4.50M,NA,NA,NA,NA,NA,NA,NA,http://4.50M
118,http://4.50M,NA,NA,NA,NA,NA,NA,NA,http://4.50M
119,http://4.30M,NA,NA,NA,NA,NA,NA,NA,http://4.30M
120,http://4.20M,NA,NA,NA,NA,NA,NA,NA,http://4.20M
121,http://4.10M,NA,NA,NA,NA,NA,NA,NA,http://4.10M
122,http://3.90M,NA,NA,NA,NA,NA,NA,NA,http://3.90M
123,http://3.70M,NA,NA,NA,NA,NA,NA,NA,http://3.70M
124,http://3.70M,NA,NA,NA,NA,NA,NA,NA,http://3.70M
125,http://384.40M,NA,NA,NA,NA,NA,NA,NA,http://384.40M
126,http://80.40M,NA,NA,NA,NA,NA,NA,NA,http://80.40M
127,http://61.10M,NA,NA,NA,NA,NA,NA,NA,http://61.10M
128,http://61.00M,NA,NA,NA,NA,NA,NA,NA,http://61.00M
129,http://42.00M,NA,NA,NA,NA,NA,NA,NA,http://42.00M
130,http://30.30M,NA,NA,NA,NA,NA,NA,NA,http://30.30M
131,http://22.6,NA,NA,NA,NA,NA,NA,NA,http://22.6
132,http://18.5,NA,NA,NA,NA,NA,NA,NA,http://18.5
133,http://16.97,NA,NA,NA,NA,NA,NA,NA,http://16.97
134,http://16.4,NA,NA,NA,NA,NA,NA,NA,http://16.4
135,http://13.05,NA,NA,NA,NA,NA,NA,NA,http://13.05
136,http://13,NA,NA,NA,NA,NA,NA,NA,http://13
137,http://12.6,NA,NA,NA,NA,NA,NA,NA,http://12.6
138,http://8.96,NA,NA,NA,NA,NA,NA,NA,http://8.96
139,http://8.8,NA,NA,NA,NA,NA,NA,NA,http://8.8
140,http://7.8,NA,NA,NA,NA,NA,NA,NA,http://7.8
141,http://7.7,NA,NA,NA,NA,NA,NA,NA,http://7.7
142,http://7.5,NA,NA,NA,NA,NA,NA,NA,http://7.5
143,http://6.7,NA,NA,NA,NA,NA,NA,NA,http://6.7
144,http://6.4,NA,NA,NA,NA,NA,NA,NA,http://6.4
145,http://6.3,NA,NA,NA,NA,NA,NA,NA,http://6.3
146,http://5.9,NA,NA,NA,NA,NA,NA,NA,http://5.9
147,http://5.5,NA,NA,NA,NA,NA,NA,NA,http://5.5
148,http://5.3,NA,NA,NA,NA,NA,NA,NA,http://5.3
149,http://5.3,NA,NA,NA,NA,NA,NA,NA,http://5.3
150,http://270.60M,NA,NA,NA,NA,NA,NA,NA,http://270.60M
151,http://15.80M,NA,NA,NA,NA,NA,NA,NA,http://15.80M
152,http://10.00M,NA,NA,NA,NA,NA,NA,NA,http://10.00M
153,http://10.00M,NA,NA,NA,NA,NA,NA,NA,http://10.00M
154,http://7.5,NA,NA,NA,NA,NA,NA,NA,http://7.5
155,http://7,NA,NA,NA,NA,NA,NA,NA,http://7
156,http://6.2,NA,NA,NA,NA,NA,NA,NA,http://6.2
157,http://5.4,NA,NA,NA,NA,NA,NA,NA,http://5.4
158,http://2.8,NA,NA,NA,NA,NA,NA,NA,http://2.8
159,http://2.2,NA,NA,NA,NA,NA,NA,NA,http://2.2
160,http://2,NA,NA,NA,NA,NA,NA,NA,http://2
161,http://1.6,NA,NA,NA,NA,NA,NA,NA,http://1.6
162,http://1.6,NA,NA,NA,NA,NA,NA,NA,http://1.6
163,http://1.5,NA,NA,NA,NA,NA,NA,NA,http://1.5
164,http://1.5,NA,NA,NA,NA,NA,NA,NA,http://1.5
165,http://1.5,NA,NA,NA,NA,NA,NA,NA,http://1.5
166,http://1.5,NA,NA,NA,NA,NA,NA,NA,http://1.5
167,http://1.5,NA,NA,NA,NA,NA,NA,NA,http://1.5
168,http://1.4,NA,NA,NA,NA,NA,NA,NA,http://1.4
169,http://1.4,NA,NA,NA,NA,NA,NA,NA,http://1.4
170,http://1.3,NA,NA,NA,NA,NA,NA,NA,http://1.3
171,http://1.3,NA,NA,NA,NA,NA,NA,NA,http://1.3
172,http://1.2,NA,NA,NA,NA,NA,NA,NA,http://1.2
173,http://1.1,NA,NA,NA,NA,NA,NA,NA,http://1.1
174,http://1.1,NA,NA,NA,NA,NA,NA,NA,http://1.1
175,http://511.40M,NA,NA,NA,NA,NA,NA,NA,http://511.40M
176,http://170.69M,NA,NA,NA,NA,NA,NA,NA,http://170.69M
177,http://33.20M,NA,NA,NA,NA,NA,NA,NA,http://33.20M
178,http://29.50M,NA,NA,NA,NA,NA,NA,NA,http://29.50M
179,http://6.20M,NA,NA,NA,NA,NA,NA,NA,http://6.20M
180,http://3.60M,NA,NA,NA,NA,NA,NA,NA,http://3.60M
181,http://1.50M,NA,NA,NA,NA,NA,NA,NA,http://1.50M
182,http://1.1,NA,NA,NA,NA,NA,NA,NA,http://1.1
183,http://1.1,NA,NA,NA,NA,NA,NA,NA,http://1.1
184,http://0.95,NA,NA,NA,NA,NA,NA,NA,http://0.95
185,http://0.7,NA,NA,NA,NA,NA,NA,NA,http://0.7
186,http://0.66,NA,NA,NA,NA,NA,NA,NA,http://0.66
187,http://0.62,NA,NA,NA,NA,NA,NA,NA,http://0.62
188,http://0.43,NA,NA,NA,NA,NA,NA,NA,http://0.43
189,http://0.42,NA,NA,NA,NA,NA,NA,NA,http://0.42
190,http://0.42,NA,NA,NA,NA,NA,NA,NA,http://0.42
191,http://0.39,NA,NA,NA,NA,NA,NA,NA,http://0.39
192,http://0.39,NA,NA,NA,NA,NA,NA,NA,http://0.39
193,http://0.37,NA,NA,NA,NA,NA,NA,NA,http://0.37
194,http://0.36,NA,NA,NA,NA,NA,NA,NA,http://0.36
195,http://0.36,NA,NA,NA,NA,NA,NA,NA,http://0.36
196,http://0.34,NA,NA,NA,NA,NA,NA,NA,http://0.34
197,http://0.33,NA,NA,NA,NA,NA,NA,NA,http://0.33
198,http://0.29,NA,NA,NA,NA,NA,NA,NA,http://0.29
199,http://0.29,NA,NA,NA,NA,NA,NA,NA,http://0.29
200,http://81,NA,NA,NA,NA,NA,NA,NA,http://81
201,http://53.1,NA,NA,NA,NA,NA,NA,NA,http://53.1
202,http://49.4,NA,NA,NA,NA,NA,NA,NA,http://49.4
203,http://11.1,NA,NA,NA,NA,NA,NA,NA,http://11.1
204,http://8.7,NA,NA,NA,NA,NA,NA,NA,http://8.7
205,http://4.3,NA,NA,NA,NA,NA,NA,NA,http://4.3
206,http://3.7,NA,NA,NA,NA,NA,NA,NA,http://3.7
207,http://2.9,NA,NA,NA,NA,NA,NA,NA,http://2.9
208,http://2.6,NA,NA,NA,NA,NA,NA,NA,http://2.6
209,http://2.4,NA,NA,NA,NA,NA,NA,NA,http://2.4
210,http://2.1,NA,NA,NA,NA,NA,NA,NA,http://2.1
211,http://2,NA,NA,NA,NA,NA,NA,NA,http://2
212,http://1.8,NA,NA,NA,NA,NA,NA,NA,http://1.8
213,http://1.8,NA,NA,NA,NA,NA,NA,NA,http://1.8
214,http://1.7,NA,NA,NA,NA,NA,NA,NA,http://1.7
215,http://1.7,NA,NA,NA,NA,NA,NA,NA,http://1.7
216,http://1.6,NA,NA,NA,NA,NA,NA,NA,http://1.6
217,http://1.5,NA,NA,NA,NA,NA,NA,NA,http://1.5
218,http://1.3,NA,NA,NA,NA,NA,NA,NA,http://1.3
219,http://1.25,NA,NA,NA,NA,NA,NA,NA,http://1.25
220,http://1.2,NA,NA,NA,NA,NA,NA,NA,http://1.2
221,http://0.88,NA,NA,NA,NA,NA,NA,NA,http://0.88
222,http://0.84,NA,NA,NA,NA,NA,NA,NA,http://0.84
223,http://0.77,NA,NA,NA,NA,NA,NA,NA,http://0.77
224,http://0.74,NA,NA,NA,NA,NA,NA,NA,http://0.74
225,"http://3,135.71M",NA,NA,NA,NA,NA,NA,NA,"http://3,135.71M"
226,http://597.00M,NA,NA,NA,NA,NA,NA,NA,http://597.00M
227,http://456.56M,NA,NA,NA,NA,NA,NA,NA,http://456.56M
228,http://263.19M,NA,NA,NA,NA,NA,NA,NA,http://263.19M
229,http://134.80M,NA,NA,NA,NA,NA,NA,NA,http://134.80M
230,http://104.00M,NA,NA,NA,NA,NA,NA,NA,http://104.00M
231,http://55.50M,NA,NA,NA,NA,NA,NA,NA,http://55.50M
232,http://55.18M,NA,NA,NA,NA,NA,NA,NA,http://55.18M
233,http://40.90M,NA,NA,NA,NA,NA,NA,NA,http://40.90M
234,http://35.60M,NA,NA,NA,NA,NA,NA,NA,http://35.60M
235,http://33.06M,NA,NA,NA,NA,NA,NA,NA,http://33.06M
236,http://29.24M,NA,NA,NA,NA,NA,NA,NA,http://29.24M
237,http://26.00M,NA,NA,NA,NA,NA,NA,NA,http://26.00M
238,http://25.30M,NA,NA,NA,NA,NA,NA,NA,http://25.30M
239,http://23.60M,NA,NA,NA,NA,NA,NA,NA,http://23.60M
240,http://19.20M,NA,NA,NA,NA,NA,NA,NA,http://19.20M
241,http://17.60M,NA,NA,NA,NA,NA,NA,NA,http://17.60M
242,http://16.80M,NA,NA,NA,NA,NA,NA,NA,http://16.80M
243,http://15.70M,NA,NA,NA,NA,NA,NA,NA,http://15.70M
244,http://15.30M,NA,NA,NA,NA,NA,NA,NA,http://15.30M
245,http://14.40M,NA,NA,NA,NA,NA,NA,NA,http://14.40M
246,http://13.50M,NA,NA,NA,NA,NA,NA,NA,http://13.50M
247,http://13.10M,NA,NA,NA,NA,NA,NA,NA,http://13.10M
248,http://13.00M,NA,NA,NA,NA,NA,NA,NA,http://13.00M
249,http://12.90M,NA,NA,NA,NA,NA,NA,NA,http://12.90M
250,http://303.10M,NA,NA,NA,NA,NA,NA,NA,http://303.10M
251,http://105.00M,NA,NA,NA,NA,NA,NA,NA,http://105.00M
252,http://24.90M,NA,NA,NA,NA,NA,NA,NA,http://24.90M
253,http://17.80M,NA,NA,NA,NA,NA,NA,NA,http://17.80M
254,http://17.50M,NA,NA,NA,NA,NA,NA,NA,http://17.50M
255,http://17.30M,NA,NA,NA,NA,NA,NA,NA,http://17.30M
256,http://16.90M,NA,NA,NA,NA,NA,NA,NA,http://16.90M
257,http://16.70M,NA,NA,NA,NA,NA,NA,NA,http://16.70M
258,http://11.80M,NA,NA,NA,NA,NA,NA,NA,http://11.80M
259,http://11.70M,NA,NA,NA,NA,NA,NA,NA,http://11.70M
260,http://11.60M,NA,NA,NA,NA,NA,NA,NA,http://11.60M
261,http://10.70M,NA,NA,NA,NA,NA,NA,NA,http://10.70M
262,http://10.60M,NA,NA,NA,NA,NA,NA,NA,http://10.60M
263,http://10.00M,NA,NA,NA,NA,NA,NA,NA,http://10.00M
264,http://9.70M,NA,NA,NA,NA,NA,NA,NA,http://9.70M
265,http://9.70M,NA,NA,NA,NA,NA,NA,NA,http://9.70M
266,http://9.20M,NA,NA,NA,NA,NA,NA,NA,http://9.20M
267,http://8.60M,NA,NA,NA,NA,NA,NA,NA,http://8.60M
268,http://8.20M,NA,NA,NA,NA,NA,NA,NA,http://8.20M
269,http://7.50M,NA,NA,NA,NA,NA,NA,NA,http://7.50M
270,http://7.30M,NA,NA,NA,NA,NA,NA,NA,http://7.30M
271,http://6.30M,NA,NA,NA,NA,NA,NA,NA,http://6.30M
272,http://6.20M,NA,NA,NA,NA,NA,NA,NA,http://6.20M
273,http://6.10M,NA,NA,NA,NA,NA,NA,NA,http://6.10M
274,http://5.90M,NA,NA,NA,NA,NA,NA,NA,http://5.90M
